asin,manifest_status,match_method,ca_skus,cb_item_name,shopify_handle,shopify_status,amazon_title
B0B9F9LK5G,pending_team_review,title,hlnb-tun07lsq-jdma-801,hlnb-tun07lsq-jdma,07-13-toyota-tundra-08-15-sequoia-led-crystal-headlights-black-1,ACTIVE,TLAPS 7422438454492 Compatible With 2007-2013 Toyota Tundra / 2008-2017 Sequoia Switchback Sequential LED Strip Bar Black Housing Headlights With Amber Reflector
B0C84NM5NJ,pending_team_review,title,hlnb-sil994plsq-cha-801,hlnb-sil994plsq-cha,1999-2002-chevrolet-silverado-crystal-headlights-parking-lights-4pc-set-w-sequential-led-bar-chrome,DRAFT,TLAPS 7422446760721 Compatible With 1999-2002 Chevy Silverado / 2000-2006 Suburban Tahoe Switchback Sequential LED Strip Bar Chrome Housing Headlights With Signal Bumper Lamps Amber Reflector 4-Pieces
B00EK5F6JQ,pending_team_review,,,,,,Crystal Smoke Head Lights Lamps Signal Amber Left+Right Dy 02-05 Dodge Ram Truck
B00TXX2260,pending_team_review,,,,,,"Boomerang 35"" Rigid Tire Cover - (Hard Plastic Face & Vinyl Band) - Union Jack"
B016XBSYZW,pending_team_review,title,vs-rav96-601,vs-rav96,,,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatible with 96-00 Toyota RAV4
B01MU1AQQK,pending_team_review,seller_sku,tbm-tit04-5.7-rb-gy-901,tbm-tit04-5.7-rb-gy,2004-2024-nissan-titan-5-7-bed-rubber-truck-bed-mat-grey,ACTIVE,"Topline_autopart Black Rubber Diamond Plate Truck Bed Floor Mat Liner Compatible with 04-24 Titan 5.7 Ft (68.4"") Short Bed"
B071GWF34J,pending_team_review,,,,,,Topline_autopart Black Clear Housing Headlights With Signal Bumper Lamps 4-Pieces NB For 99-06 GMC Sierra / 2007 Classic Style / 00-06 Yukon / XL
B07MNRB7TN,pending_team_review,title,vs-yuk00-601,vs-yuk00,,,Classic Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatible with 00-06 Chevy Tahoe/GMC Yukon
B07PZFTRX9,wrong_map_removed,seller_sku,rbjz-br-sil07-6p+rbjz-86-6-oe-mb-901,rbjz-br-sil07-6p+rbjz-86-6-oe-mb,,,"6"" OE Style with Polymer Stripes Matte Black Aluminum Side Step Rail Running Boards jz Compatible with 07-18 Chevy Silverado/GMC Sierra Crew Cab"
B0832K18QL,not_in_catalog,title,s223043-601,s223043,,,"4"" Oval Bent End Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 SuperCrew / 17-22 F250 F350 F450 F550 Superduty Crew Cab"
