sku,image_filename,product_handle,product_title,image_url,status
ITEM-033460,th-outl22-c487-stl-2.jpg,2022-2025-mitsubishi-outlander-2-trailer-hitch-receiver-class-3,"2022-2025 Mitsubishi Outlander 2"" Trailer Hitch Receiver - Class 3",https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-outl22-c487-stl-2.jpg?v=1776216928,ACTIVE
ITEM-033434,th-tao22-c496-stl-2.jpg,2022-volkswagen-taos-class-3-trailer-hitch-2-receiver-curt-13496,"2022-2025 Volkswagen Taos 2"" Trailer Hitch Receiver Class 3 - TH",https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-tao22-c496-stl-2.jpg?v=1776216930,ACTIVE
ITEM-030297,tbm-rb-gy-2_9d06a294-6fe7-4a0f-a3b5-fa04ef37f2dc.jpg,2022-ford-f-150-lightning-ev-rubber-bed-mat-2pc-w-frunk-mat,2022-2026 Ford F-150 Lightning 5.5 ft Bed Mat 2PC w/ Frunk Mat,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-gy-2_9d06a294-6fe7-4a0f-a3b5-fa04ef37f2dc.jpg?v=1776218162,ACTIVE
ITEM-031036,tbm-rb-v2-2_bb0324e7-a875-4e82-9682-f2a9ad0d533b.jpg,2022-2026-ford-f-150-lightning-ev-2pc-rubber-bed-mat-w-frunk-mat,2022-2026 Ford F-150 Lightning 5.5 ft Bed Rubber Bed Mat 2PC - V2,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-v2-2_bb0324e7-a875-4e82-9682-f2a9ad0d533b.jpg?v=1776218164,ACTIVE
ITEM-030854,LISTING_tc-lth-ws-2_7301cc8b-b7b6-421a-a91c-a9a62395ea35.jpg,2022-ford-f-150-lightning-5-7ft-bed-hard-tri-fold-tonneau-cover,2022-2026 Ford F-150 Lightning 5.5 ft Bed Tonneau Cover - Hard Tri-Fold,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lth-ws-2_7301cc8b-b7b6-421a-a91c-a9a62395ea35.jpg?v=1773339490,ACTIVE
ITEM-030852,tc-lru-2_ee01f401-6306-45b1-9a14-2e2a2cec7cef.jpg,2022-ford-f-150-lightning-5-7ft-bed-tonneau-cover-lock-roll-up,2022-2026 Ford F-150 Lightning 5.5 ft Bed Tonneau Cover - Lock & Roll-Up,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tc-lru-2_ee01f401-6306-45b1-9a14-2e2a2cec7cef.jpg?v=1776218165,ACTIVE
ITEM-031823,LISTING_tc-lru_2btbl-16w8p-01-ws-1_a51239d2-d5ea-413d-a1ab-61cb50c0b199.jpg,2022-ford-f-150-lightning-5-7-bed-tonneau-cover-w-led-lights,2022-2026 Ford F-150 Lightning 5.5 ft Bed Tonneau Cover Combo,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lru_2btbl-16w8p-01-ws-1_a51239d2-d5ea-413d-a1ab-61cb50c0b199.jpg?v=1773339489,ACTIVE
ITEM-031822,LISTING_tc-lth_2btbl-16w8p-01-ws-2.jpg,2022-ford-f-150-lightning-5-7-tri-fold-tonneau-cover-w-led-kit,2022-2026 Ford F-150 Lightning 5.5 ft Bed Tonneau Cover Combo w/ LED,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lth_2btbl-16w8p-01-ws-2.jpg?v=1773339525,ACTIVE
ITEM-030298,tbm-rb-gy-2_d53c7128-a3e2-42f3-9d57-0f279d115e4f.jpg,2022-ford-maverick-4-6ft-bed-rubber-truck-bed-mat-diamond-plate,2022-2026 Ford Maverick 4.5 ft Bed Rubber Bed Mat - Diamond Plate,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-gy-2_d53c7128-a3e2-42f3-9d57-0f279d115e4f.jpg?v=1776218167,ACTIVE
ITEM-031202,tbm-rb-v2-2_d94fedc5-52c9-43b3-ac4d-cd4202902b1c.jpg,2022-2026-ford-maverick-4-5-rubber-truck-bed-mat-lightweight-v2,2022-2026 Ford Maverick 4.5 ft Bed Rubber Truck Bed Mat - V2,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-v2-2_d94fedc5-52c9-43b3-ac4d-cd4202902b1c.jpg?v=1776218169,ACTIVE
